product_id,product_name,category,subcategory,brand,regular_price,cost_price
P0041,Terra Jacket,Apparel,Jacket,Terra,169.55,102.47
P0042,Orion Lamp,Home,Lamp,Orion,106.64,57.53
P0043,Luma Lamp,Home,Lamp,Luma,25.18,16.95
P0044,Vertex Cookware,Home,Cookware,Vertex,64.56,38.71
P0045,Terra T-Shirt,Apparel,T-Shirt,Terra,59.25,37.21
P0046,Terra Fragrance,Beauty,Fragrance,Terra,171.42,82.13
P0047,Vertex Haircare,Beauty,Haircare,Vertex,17.86,10.71
P0048,Zenith Shoes,Apparel,Shoes,Zenith,151.4,101.17
P0049,Apex Beverages,Grocery,Beverages,Apex,13.05,7.69
P0050,Zenith Frozen,Grocery,Frozen,Zenith,37.57,18.58
P0051,Zenith Cookware,Home,Cookware,Zenith,347.47,240.02
P0052,Terra Cookware,Home,Cookware,Terra,313.74,216.87
P0053,Orion TV,Electronics,TV,Orion,944.65,593.85
P0054,Zenith Jacket,Apparel,Jacket,Zenith,27.87,18.16
P0055,Nova Jeans,Apparel,Jeans,Nova,52.48,25.36
P0056,Luma Snacks,Grocery,Snacks,Luma,7.82,3.9
P0057,Terra Shoes,Apparel,Shoes,Terra,45.0,24.02
P0058,Luma Frozen,Grocery,Frozen,Luma,38.93,22.78
P0059,Vertex Cookware,Home,Cookware,Vertex,94.25,45.77
P0060,Terra Headphones,Electronics,Headphones,Terra,216.45,126.99
P0061,Luma Pantry,Grocery,Pantry,Luma,9.59,6.4
P0062,Terra Cookware,Home,Cookware,Terra,263.34,127.82
P0063,Pulse Cookware,Home,Cookware,Pulse,150.0,79.69
P0064,Orion Snacks,Grocery,Snacks,Orion,27.19,19.25
P0065,Vertex Vacuum,Home,Vacuum,Vertex,26.25,15.75
P0066,Terra Snacks,Grocery,Snacks,Terra,6.02,2.94
P0067,Nova Makeup,Beauty,Makeup,Nova,135.17,94.88
P0068,Luma Pantry,Grocery,Pantry,Luma,19.76,13.08
P0069,Terra Snacks,Grocery,Snacks,Terra,33.52,22.3
P0070,Apex Smartwatch,Electronics,Smartwatch,Apex,674.46,413.87
P0071,Luma Frozen,Grocery,Frozen,Luma,17.68,9.74
P0072,Orion Haircare,Beauty,Haircare,Orion,146.91,100.52
P0073,Pulse Jacket,Apparel,Jacket,Pulse,51.76,33.72
P0074,Luma Hoodie,Apparel,Hoodie,Luma,29.69,13.89
P0075,Zenith Lamp,Home,Lamp,Zenith,291.79,155.75
P0076,Apex Speaker,Electronics,Speaker,Apex,1111.49,549.85
P0077,Pulse Laptop,Electronics,Laptop,Pulse,209.35,95.4
P0078,Nova Tablet,Electronics,Tablet,Nova,275.6,127.99
P0079,Pulse Lamp,Home,Lamp,Pulse,148.69,79.68
P0080,Pulse Haircare,Beauty,Haircare,Pulse,193.75,131.71
P0081,Orion Cookware,Home,Cookware,Orion,96.6,49.97
P0082,Pulse TV,Electronics,TV,Pulse,546.21,253.06
P0083,Vertex Smartwatch,Electronics,Smartwatch,Vertex,193.87,130.87
P0084,Nova Cookware,Home,Cookware,Nova,325.05,154.97
P0085,Luma Frozen,Grocery,Frozen,Luma,39.22,26.14
P0086,Luma Pantry,Grocery,Pantry,Luma,26.41,17.44
P0087,Luma Skincare,Beauty,Skincare,Luma,117.99,80.42
P0088,Orion Appliance,Home,Appliance,Orion,145.85,90.82
P0089,Nova Jeans,Apparel,Jeans,Nova,92.28,51.91
P0090,Apex TV,Electronics,TV,Apex,491.61,269.86
P0091,Orion Makeup,Beauty,Makeup,Orion,154.01,81.65
P0092,Vertex Dress,Apparel,Dress,Vertex,165.95,96.23
P0093,Orion Makeup,Beauty,Makeup,Orion,188.2,117.85
P0094,Luma Vacuum,Home,Vacuum,Luma,194.86,120.99
P0095,Apex Laptop,Electronics,Laptop,Apex,306.69,195.54
P0096,Luma Fragrance,Beauty,Fragrance,Luma,37.74,23.24
P0097,Pulse Skincare,Beauty,Skincare,Pulse,27.74,19.49
P0098,Apex Fragrance,Beauty,Fragrance,Apex,211.36,140.82
P0099,Orion Lamp,Home,Lamp,Orion,281.98,198.92
P0100,Zenith Skincare,Beauty,Skincare,Zenith,133.92,63.7
P0101,Apex Lamp,Home,Lamp,Apex,205.56,124.27
P0102,Orion Smartwatch,Electronics,Smartwatch,Orion,665.35,436.64
P0103,Pulse Frozen,Grocery,Frozen,Pulse,24.78,17.38
P0104,Nova Appliance,Home,Appliance,Nova,56.88,26.94
P0105,Terra Lamp,Home,Lamp,Terra,275.07,173.63
P0106,Zenith Storage,Home,Storage,Zenith,316.26,207.43
P0107,Luma Makeup,Beauty,Makeup,Luma,76.03,37.45
P0108,Apex Hoodie,Apparel,Hoodie,Apex,169.27,96.18
P0109,Apex Makeup,Beauty,Makeup,Apex,126.13,88.64
P0110,Luma Makeup,Beauty,Makeup,Luma,110.67,61.05
P0111,Nova Haircare,Beauty,Haircare,Nova,209.75,101.1
P0112,Luma Makeup,Beauty,Makeup,Luma,143.79,69.44
P0113,Nova Lamp,Home,Lamp,Nova,22.08,12.64
P0114,Luma Fragrance,Beauty,Fragrance,Luma,72.03,41.33
P0115,Nova Jacket,Apparel,Jacket,Nova,166.3,109.92
P0116,Nova Shoes,Apparel,Shoes,Nova,179.5,123.39
P0117,Luma Makeup,Beauty,Makeup,Luma,32.35,23.28
P0118,Terra Snacks,Grocery,Snacks,Terra,26.7,12.67
P0119,Luma Haircare,Beauty,Haircare,Luma,60.57,29.6
P0120,Luma Speaker,Electronics,Speaker,Luma,301.99,210.15
